Strategy,Sharpe,Fitness,Turnover,Max Drawdown
"CVXPYMVUtility(mw=0.02,lb=280,k=2.0,tc=0.1,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=1.0,tc=0.1,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=1.0,tc=0.5,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=4.0,tc=0.5,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=2.0,tc=0.5,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=1.0,tc=0.5,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=2.0,tc=0.5,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=4.0,tc=0.5,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=4.0,tc=0.5,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=1.0,tc=0.5,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=2.0,tc=0.5,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=4.0,tc=0.5,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=2.0,tc=0.5,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=1.0,tc=0.5,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=1.0,tc=1.0,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=2.0,tc=1.0,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=4.0,tc=1.0,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=4.0,tc=1.0,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=2.0,tc=1.0,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=240,k=1.0,tc=1.0,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=4.0,tc=1.0,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=1.0,tc=1.0,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=2.0,tc=1.0,hl=45)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=1.0,tc=1.0,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=4.0,tc=1.0,hl=90)",+2.494,4.715,0.161,-0.041
"CVXPYMVUtility(mw=0.02,lb=280,k=2.0,tc=1.0,hl=90)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=240,rb=12,hl=45)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=240,rb=12,hl=90)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=240,rb=24,hl=45)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=240,rb=24,hl=90)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=280,rb=12,hl=45)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=280,rb=12,hl=90)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=280,rb=24,hl=45)",+2.494,4.715,0.161,-0.041
"HRP(mw=0.02,lb=280,rb=24,hl=90)",+2.494,4.715,0.161,-0.041
"CorrSelAdaptive(mw=0.08,mc=0.6,lb=180,n=5)",+2.464,4.436,0.237,-0.090
"KellyOptimal(mw=0.03,lb=280,kf=0.5,hl=90)",+2.441,4.742,0.172,-0.068
"KellyOptimal(mw=0.03,lb=280,kf=0.7,hl=90)",+2.441,4.742,0.172,-0.068
"KellyOptimal(mw=0.03,lb=280,kf=0.3,hl=90)",+2.441,4.742,0.172,-0.068
"CVXPYLedoitSharpe(mw=0.03,lb=280,l2=0.001,hl=90)",+2.440,4.742,0.172,-0.068
"CVXPYLedoitSharpe(mw=0.03,lb=280,l2=0.01,hl=90)",+2.440,4.742,0.172,-0.068
"CVXPYLedoitSharpe(mw=0.03,lb=280,l2=0.05,hl=90)",+2.440,4.742,0.172,-0.068
"QPOptimal(mw=0.02,lb=120,rb=15)",+2.427,3.997,0.200,-0.070
"CVXPYLedoitSharpe(mw=0.02,lb=240,l2=0.001,hl=45)",+2.426,4.772,0.145,-0.070
"CVXPYLedoitSharpe(mw=0.02,lb=240,l2=0.01,hl=45)",+2.424,4.765,0.145,-0.070
"CVXPYLedoitSharpe(mw=0.02,lb=240,l2=0.05,hl=45)",+2.424,4.764,0.145,-0.070
"KellyOptimal(mw=0.03,lb=240,kf=0.3,hl=45)",+2.391,4.602,0.171,-0.073
"KellyOptimal(mw=0.03,lb=240,kf=0.5,hl=45)",+2.391,4.602,0.171,-0.073
"KellyOptimal(mw=0.03,lb=240,kf=0.7,hl=45)",+2.391,4.602,0.171,-0.073
"KellyOptimal(mw=0.02,lb=240,kf=0.3,hl=90)",+2.389,4.668,0.144,-0.065
"KellyOptimal(mw=0.02,lb=240,kf=0.5,hl=90)",+2.389,4.668,0.144,-0.065
"KellyOptimal(mw=0.02,lb=240,kf=0.7,hl=90)",+2.389,4.668,0.144,-0.065
"CVXPYLedoitSharpe(mw=0.03,lb=240,l2=0.001,hl=45)",+2.386,4.588,0.171,-0.073
"CVXPYLedoitSharpe(mw=0.03,lb=240,l2=0.01,hl=45)",+2.386,4.587,0.171,-0.073
"CVXPYLedoitSharpe(mw=0.03,lb=240,l2=0.05,hl=45)",+2.386,4.587,0.171,-0.073
"SmoothAdaptive(lb=300,hl=60)",+2.379,3.717,0.212,-0.051
