date,pnl_dollars,pnl_bps_equity,equity_curve,drawdown_dollars
2024-04-23,-690.6662722877119,-62.78784293524653,1607281.08226814,-690.6662722877227
2024-04-24,3063.555638892035,278.5050580810941,1610344.6379070322,0.0
2024-04-25,2124.825530208502,193.165957291682,1612469.4634372406,0.0
2024-04-26,-701.288911471212,-63.753537406473825,1611768.1745257694,-701.2889114711434
2024-04-29,-245.62860395458534,-22.329873086780484,1611522.5459218149,-946.91751542571
2024-04-30,741.461713230948,67.40561029372255,1612264.0076350458,-205.45580219477415
2024-05-01,1482.3941547933068,134.76310498120972,1613746.4017898391,0.0
2024-05-02,1722.5060996858963,156.59146360780875,1615468.907889525,0.0
2024-05-03,408.57068233533755,37.1427893032125,1615877.4785718604,0.0
2024-05-06,2349.3672985563417,213.5788453233038,1618226.8458704166,0.0
2024-05-07,3068.858922434085,278.987174766735,1621295.7047928507,0.0
2024-05-08,-3236.2462238309054,-294.20420216644595,1618059.4585690198,-3236.246223830851
2024-05-09,4238.840318707894,385.34911988253583,1622298.2988877278,0.0
2024-05-10,2752.738184777565,250.24892588886956,1625051.0370725053,0.0
2024-05-13,839.5795357222352,76.32541233838501,1625890.6166082276,0.0
2024-05-14,41.525172118737146,3.775015647157922,1625932.1417803464,0.0
2024-05-15,917.2365275089701,83.38513886445183,1626849.3783078555,0.0
2024-05-16,865.6599226456658,78.69635660415145,1627715.038230501,0.0
2024-05-17,1694.3494721434784,154.03177019486168,1629409.3877026446,0.0
2024-05-20,1859.7598458961827,169.069076899653,1631269.1475485407,0.0
2024-05-21,1313.5391876344295,119.41265342131177,1632582.686736175,0.0
2024-05-22,734.8447797340011,66.8040708849092,1633317.5315159091,0.0
2024-05-23,1231.7424526163718,111.97658660148834,1634549.2739685255,0.0
2024-05-24,-700.8719873702386,-63.71563521547623,1633848.4019811552,-700.8719873703085
2024-05-28,2041.9796947113996,185.63451770103632,1635890.3816758667,0.0
2024-05-29,2810.7313912538666,255.52103556853334,1638701.1130671205,0.0
2024-05-30,1329.9046400261082,120.9004218205553,1640031.0177071467,0.0
2024-05-31,307.1476329363801,27.92251208512546,1640338.1653400832,0.0
2024-06-03,4222.6806306101735,383.8800573281976,1644560.8459706933,0.0
2024-06-04,665.549396719375,60.504490610852265,1645226.3953674126,0.0
2024-06-05,1901.3138617469524,172.8467147042684,1647127.7092291596,0.0
2024-06-06,-924.9195192047675,-84.08359265497886,1646202.7897099548,-924.9195192048792
2024-06-07,3171.2715076178984,288.2974097834453,1649374.0612175725,0.0
2024-06-10,77.69227648593255,7.062934225993869,1649451.7534940585,0.0
2024-06-11,3446.2668951218798,313.2969904656254,1652898.0203891804,0.0
2024-06-12,2139.391502046609,194.4901365496917,1655037.4118912271,0.0
2024-06-13,-830.0659326196394,-75.46053932905814,1654207.3459586075,-830.0659326196183
2024-06-14,505.87993725399656,45.989085204908775,1654713.2258958614,-324.18599536572583
2024-06-17,1633.066399406888,148.46058176426254,1656346.2922952683,0.0
2024-06-18,4245.798572499534,385.98168840904856,1660592.0908677678,0.0
2024-06-20,1430.6670081306434,130.06063710278576,1662022.7578758984,0.0
2024-06-21,1156.1669094312829,105.10608267557116,1663178.9247853297,0.0
2024-06-24,744.9368349073164,67.72153044611967,1663923.8616202371,0.0
2024-06-25,3621.3241020141927,329.2112820012903,1667545.1857222514,0.0
2024-06-26,1619.8628589679097,147.26025990617362,1669165.0485812193,0.0
2024-06-27,1034.4365422381197,94.03968565801088,1670199.4851234574,0.0
2024-06-28,4331.6128400544285,393.7829854594935,1674531.0979635117,0.0
2024-07-01,1121.3005020391051,101.93640927628228,1675652.3984655507,0.0
2024-07-02,1774.4570004918382,161.3142727719853,1677426.8554660426,0.0
2024-07-03,1723.7231393292682,156.702103575388,1679150.578605372,0.0
2024-07-05,208.68367910833854,18.971243555303506,1679359.2622844803,0.0
2024-07-08,-1953.9048260104232,-177.62771145549303,1677405.35745847,-1953.9048260103446
2024-07-09,408.5657686015993,37.14234260014539,1677813.9232270715,-1545.3390574087389
2024-07-10,-312.76178884862065,-28.43288989532915,1677501.161438223,-1858.1008462572936
2024-07-11,812.8739882307002,73.89763529370002,1678314.0354264537,-1045.2268580265809
2024-07-12,2048.100653448276,186.19096849529782,1680362.136079902,0.0
2024-07-15,4078.6084058593024,370.78258235084564,1684440.7444857613,0.0
2024-07-16,4148.03222423222,377.0938385665654,1688588.7767099936,0.0
2024-07-17,2421.0978435836573,220.09980396215067,1691009.8745535773,0.0
2024-07-18,571.4514943922992,51.950135853845374,1691581.3260479695,0.0
2024-07-19,3981.481728671356,361.95288442466875,1695562.8077766409,0.0
2024-07-22,1488.5199500372914,135.3199954579356,1697051.3277266782,0.0
2024-07-23,704.6850790400442,64.06227991273128,1697756.0128057182,0.0
2024-07-24,166.72589856322026,15.15689986938366,1697922.7387042814,0.0
2024-07-25,1286.8998103730435,116.99089185209486,1699209.6385146545,0.0
2024-07-26,4601.422443807462,418.3111312552238,1703811.0609584618,0.0
2024-07-29,-387.44655358156433,-35.22241396196039,1703423.6144048802,-387.4465535816271
